,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
1562,1,298.2,308.3,2216,16.8,139,0
1563,1,298.2,308.3,1402,51.0,141,0
1564,2,298.0,308.2,2090,19.0,143,0
1565,1,298.0,308.2,1459,42.1,146,0
1566,2,298.0,308.1,1403,44.8,148,0
1567,1,298.1,308.2,1521,39.3,151,0
1568,1,298.2,308.2,1407,47.1,153,0
1569,2,298.1,308.2,1654,35.3,155,0
1570,1,298.2,308.4,1452,43.5,158,0
1571,1,298.3,308.4,1528,37.3,160,0
1572,1,298.2,308.3,1230,59.6,162,0
1573,1,298.2,308.2,1466,42.4,164,0
1574,1,298.2,308.2,1478,50.1,166,0
1575,1,298.2,308.3,2057,18.0,168,0
1576,1,298.3,308.4,1490,41.7,170,0
1577,1,298.3,308.4,1484,43.4,172,0
1578,1,298.3,308.4,1593,37.0,174,0
1579,1,298.3,308.3,1444,43.8,176,0
1580,2,298.3,308.4,1444,47.5,178,0
1581,2,298.2,308.3,1560,33.0,181,0
1582,0,298.1,308.3,1530,42.0,184,0
1583,1,298.2,308.4,1310,61.0,189,3
1584,2,298.2,308.3,1639,33.3,191,0
1585,1,298.2,308.3,1400,48.7,194,0
1586,2,298.3,308.4,1486,44.2,196,0
1587,2,298.2,308.3,1448,43.3,199,0
1588,1,298.2,308.3,1688,32.0,202,0
1589,2,298.1,308.3,1453,41.5,204,0
1590,1,298.2,308.4,1497,37.7,207,0
1591,1,298.2,308.4,1355,49.4,209,0
1592,1,298.1,308.4,1592,38.2,211,0
1593,1,298.0,308.3,1544,34.7,213,0
1594,2,298.0,308.2,1373,51.2,215,0
1595,1,298.0,308.2,1365,52.9,218,3
1596,1,298.0,308.1,1877,24.3,0,0
1597,1,297.9,308.1,1531,40.8,2,0
1598,1,297.9,308.0,1501,36.7,4,0
1599,1,297.9,308.0,1490,46.2,6,0
1600,2,297.8,307.8,1543,43.7,8,0
1601,1,297.8,307.8,1597,38.2,11,0
1602,0,297.8,307.9,1600,33.5,13,0
1603,2,297.8,307.8,1622,32.1,18,0
1604,1,297.8,307.8,1452,39.8,21,0
1605,1,297.8,307.8,1396,42.5,23,0
1606,1,297.8,307.7,1505,39.7,25,0
1607,1,297.8,307.8,1412,48.3,27,0
1608,1,297.8,307.7,1393,38.0,29,0
1609,1,297.7,307.7,1581,34.9,31,0
1610,1,297.8,307.8,1573,37.9,33,0
1611,2,297.8,307.9,1726,27.3,35,0
1612,2,297.9,307.9,1540,39.8,38,0
1613,1,297.9,308.0,1296,62.9,41,0
1614,2,297.8,307.9,1802,25.8,43,0
1615,1,297.8,307.9,1447,48.6,46,0
1616,0,297.8,307.8,1662,30.7,48,0
1617,1,297.8,307.8,1563,34.3,53,0
1618,1,297.9,307.8,1286,59.5,55,0
1619,1,297.9,307.7,1590,34.6,57,0
1620,1,297.9,307.7,1492,43.7,59,0
1621,1,297.7,307.6,1844,21.9,61,0
1622,0,297.7,307.6,1538,38.3,63,0
1623,1,297.7,307.6,1921,22.9,68,0
1624,2,297.8,307.8,1310,57.9,70,0
1625,1,297.9,307.8,1365,46.9,73,0
1626,2,297.9,307.8,1303,59.3,75,0
1627,1,297.9,307.8,1499,37.5,78,0
1628,1,297.9,307.8,1451,38.2,80,0
1629,2,297.9,307.9,1336,54.4,82,0
1630,1,297.9,307.9,1412,44.5,85,0
1631,1,298.0,308.0,1433,39.2,87,0
1632,1,297.9,307.9,1426,43.6,89,0
1633,1,297.9,307.9,1476,45.2,91,0
1634,0,297.9,307.9,1406,58.5,93,0
1635,1,297.8,307.8,1383,56.5,98,0
1636,1,297.9,307.8,1505,37.3,100,0
1637,1,297.9,307.8,1665,33.9,102,0
1638,1,297.9,307.8,1397,45.0,104,0
1639,2,297.9,307.8,1450,43.5,106,0
1640,1,298.0,307.8,1567,36.4,109,0
1641,2,298.0,308.0,1555,37.0,111,0
1642,0,298.0,307.8,1588,35.4,114,0
1643,1,298.0,307.8,1453,37.7,119,0
1644,1,298.0,307.8,1622,33.3,121,0
1645,1,297.9,307.8,1538,38.5,123,0
1646,2,297.9,307.7,1527,42.8,125,0
1647,1,297.8,307.8,1761,28.9,128,0
1648,1,297.9,307.8,1373,50.2,130,0
1649,0,298.0,307.9,1482,37.8,132,0
1650,2,298.0,307.9,1417,51.0,137,0
1651,1,298.0,307.8,1414,51.7,140,0
1652,0,297.9,307.8,1635,34.0,142,0
1653,1,298.0,307.8,1386,57.3,147,0
1654,1,298.2,308.1,1379,62.3,149,0
1655,2,298.2,308.0,1577,35.9,151,0
1656,1,298.2,308.1,1532,42.5,154,0
1657,2,298.1,308.0,1374,48.8,156,0
1658,0,298.1,308.0,1570,35.3,159,0
1659,1,298.1,308.0,1697,31.0,164,0
1660,1,298.2,308.0,1499,44.1,166,0
1661,2,298.2,308.0,1411,47.2,168,0
1662,0,298.2,307.9,1462,45.5,171,0
1663,2,298.1,307.9,1759,28.6,176,0
1664,1,298.2,308.0,1535,38.0,179,0
1665,0,298.2,307.9,1491,39.7,181,0
1666,1,298.2,307.9,1551,36.0,186,0
1667,1,298.2,307.9,1769,27.2,188,0
1668,1,298.2,307.9,1551,34.1,190,0
1669,1,298.2,307.9,1544,31.4,192,0
1670,1,298.2,307.8,1528,31.1,194,0
1671,1,298.1,307.9,1614,35.8,196,0
1672,1,298.1,307.8,1432,49.8,198,0
1673,2,298.1,307.8,1384,43.7,200,0
1674,1,298.1,307.8,1540,37.8,203,0
1675,1,298.0,307.7,1407,43.9,205,0
1676,0,297.9,307.6,1418,43.0,207,0
1677,2,297.9,307.5,1647,30.8,212,0
1678,1,298.0,307.5,1644,32.8,215,0
1679,1,298.0,307.5,1792,27.9,217,0
1680,2,297.9,307.4,1610,34.6,219,0
1681,2,297.8,307.3,1804,26.0,222,0
1682,0,297.9,307.4,1604,36.1,225,4
1683,2,297.9,307.4,1403,52.8,0,0
1684,1,297.8,307.3,1438,44.5,3,0
1685,1,297.9,307.3,1824,26.3,5,0
1686,0,297.9,307.3,1663,28.7,7,0
1687,1,297.9,307.3,1502,36.7,12,0
1688,1,297.9,307.4,1606,35.5,14,0
1689,1,297.9,307.5,1561,37.7,16,0
1690,2,297.9,307.4,1435,42.9,18,0
1691,1,297.9,307.5,1602,38.3,21,0
1692,2,298.1,307.6,1764,27.7,23,0
1693,0,298.0,307.5,1683,27.8,26,0
1694,1,298.0,307.5,1618,35.2,31,0
1695,1,298.0,307.6,1509,41.6,33,0
1696,1,297.9,307.6,1550,39.0,35,0
1697,2,297.9,307.6,1519,44.0,37,0
1698,1,297.9,307.6,1481,38.0,40,0
1699,1,298.1,307.7,1289,48.3,42,0
1700,2,298.0,307.6,1844,23.8,44,0
1701,1,298.0,307.7,1479,42.5,47,0
1702,1,298.0,307.7,1430,47.3,49,0
1703,2,298.1,307.8,1636,36.7,51,0
1704,2,298.1,307.8,1503,44.7,54,0
1705,2,298.1,307.8,1608,32.6,57,0
1706,1,298.2,307.8,1521,42.9,60,0
1707,1,298.2,307.8,1439,41.6,62,0
1708,1,298.2,307.8,1627,31.5,64,0
1709,1,298.2,307.8,1749,26.1,66,0
1710,1,298.2,307.8,1530,35.9,68,0
1711,1,298.2,307.8,1355,51.3,70,0
1712,1,298.3,307.9,1551,33.8,72,0
1713,1,298.2,307.8,1515,46.7,74,0
1714,1,298.2,307.8,1388,48.6,76,0
1715,1,298.2,307.8,1585,34.6,78,0
1716,1,298.1,307.7,1523,37.7,80,0
1717,1,298.2,307.6,1369,54.5,82,0
1718,2,298.2,307.7,1681,31.0,84,0
1719,1,298.2,307.7,1503,38.3,87,0
1720,1,298.2,307.7,1459,44.5,89,0
1721,1,298.2,307.7,1688,32.4,91,0
1722,2,298.2,307.7,1952,21.6,93,0
1723,1,298.2,307.8,2029,19.9,96,0
1724,2,298.3,307.8,1457,52.5,98,0
1725,2,298.3,307.8,1392,50.4,101,0
1726,1,298.3,307.8,1906,22.1,104,0
1727,2,298.3,307.7,1602,33.4,106,0
1728,1,298.3,307.7,1465,49.4,109,0
1729,2,298.3,307.7,1439,43.8,111,0
1730,2,298.3,307.8,1330,55.4,114,0
1731,2,298.3,307.9,1485,42.0,117,0
1732,0,298.4,307.9,1700,28.2,120,0
1733,1,298.4,308.0,1515,42.8,125,0
1734,2,298.5,308.1,1501,39.2,127,0
1735,1,298.4,308.0,1380,47.6,130,0
1736,1,298.4,307.9,1544,35.9,132,0
1737,1,298.4,307.9,1743,27.3,134,0
1738,0,298.4,307.9,1948,21.4,136,0
1739,0,298.5,307.9,1260,54.2,141,0
1740,2,298.5,307.9,1640,33.1,146,0
1741,2,298.5,308.0,1363,49.2,149,0
1742,1,298.5,308.0,1379,49.6,152,0
1743,2,298.5,308.0,1713,25.8,154,0
1744,2,298.5,308.0,1461,51.9,157,0
1745,1,298.5,308.0,1624,29.8,160,0
1746,1,298.4,308.0,1526,41.1,162,0
1747,1,298.4,307.9,2381,14.2,164,0
1748,0,298.4,307.7,1626,31.1,166,5
1749,1,298.3,307.7,1576,33.8,171,0
1750,2,298.4,307.8,1617,31.6,173,0
1751,1,298.3,307.6,1942,20.6,176,0
1752,1,298.2,307.6,1492,37.2,178,0
1753,1,298.2,307.5,1470,51.3,180,0
1754,2,298.0,307.4,1463,46.5,182,0
1755,1,298.0,307.3,1424,46.5,185,0
1756,2,298.1,307.4,1363,60.1,187,0
1757,2,298.1,307.4,1335,56.2,190,0
1758,1,298.1,307.4,1608,33.9,193,0
1759,0,298.0,307.4,1606,35.2,195,0
1760,1,298.1,307.5,1684,33.1,200,0
1761,1,298.1,307.6,1950,20.3,202,0
1762,0,298.2,307.6,1460,48.6,204,0
1763,1,298.2,307.6,1511,31.0,209,4
1764,0,298.2,307.6,1318,55.7,0,0
1765,1,298.2,307.6,1368,51.8,5,0
1766,2,298.3,307.7,1717,27.1,7,0
1767,2,298.3,307.7,1520,41.4,10,0
1768,2,298.3,307.8,1485,42.0,13,0
1769,1,298.4,307.9,1981,23.2,16,0
1770,0,298.4,307.9,1605,31.0,18,0
1771,1,298.4,307.9,1446,45.3,23,0
1772,1,298.4,308.0,1508,47.9,25,0
1773,1,298.5,308.0,1384,59.5,27,0
1774,2,298.5,308.0,1519,37.3,29,0
1775,1,298.5,308.0,1404,48.1,32,0
1776,1,298.5,308.1,1564,31.1,34,0
1777,0,298.6,308.2,1555,36.8,36,0
1778,1,298.6,308.2,1325,54.0,41,0
1779,2,298.6,308.2,1488,44.0,43,0
1780,1,298.5,308.2,1595,32.3,46,0
1781,1,298.5,308.1,1662,28.6,48,0
1782,1,298.4,308.0,1571,37.4,50,0
1783,0,298.3,308.0,1553,41.0,52,0
1784,1,298.3,308.0,2886,3.8,57,2
1785,1,298.2,308.0,1538,38.2,59,0
1786,1,298.4,308.2,1618,33.0,61,0
1787,1,298.4,308.2,1364,45.9,63,0
1788,1,298.3,308.0,1442,47.3,65,0
1789,1,298.2,307.9,1313,67.3,67,2
1790,1,298.2,307.9,1847,23.6,69,0
1791,1,298.1,307.8,1524,40.8,71,0
1792,2,298.1,307.7,1445,48.0,73,0
1793,1,298.1,307.8,1761,28.2,76,0
1794,2,298.1,307.8,1514,43.5,78,0
1795,2,298.1,307.7,1498,38.3,81,0
1796,0,298.1,307.6,1542,37.1,84,0
1797,2,298.0,307.6,1508,41.8,89,0
1798,2,298.0,307.5,1431,52.9,92,0
1799,2,298.0,307.5,1427,45.1,95,0
1800,2,298.0,307.5,1524,36.3,98,0
1801,2,298.0,307.5,1427,43.6,101,0
1802,0,298.1,307.6,1496,44.1,104,0
1803,1,298.1,307.7,1388,40.3,109,0
1804,1,298.1,307.7,1495,48.1,111,0
1805,0,298.1,307.7,1376,56.2,113,0
1806,0,298.0,307.6,1593,32.2,118,0
1807,1,298.0,307.6,1654,28.9,123,0
1808,1,298.1,307.7,2567,12.8,125,2
1809,1,298.1,307.7,1767,27.0,127,0
1810,1,298.1,307.6,1364,53.8,129,0
1811,2,298.1,307.8,1569,31.2,131,0
1812,1,298.2,307.8,1476,36.8,134,0
1813,1,298.1,307.7,1479,45.0,136,0
1814,1,298.1,307.7,1650,34.1,138,0
1815,2,298.1,307.6,1565,36.3,140,0
1816,1,298.1,307.6,1460,46.5,143,0
1817,1,298.1,307.7,1664,27.6,145,0
1818,2,298.1,307.7,1435,40.9,147,0
1819,2,298.1,307.6,2066,19.2,150,0
1820,1,298.1,307.5,1493,43.7,153,0
1821,1,298.1,307.6,1354,43.3,155,0
1822,1,298.1,307.6,1488,39.4,157,0
1823,1,298.1,307.7,1414,48.7,159,0
1824,1,298.1,307.5,1391,57.4,161,0
1825,2,298.0,307.5,1784,27.8,163,0
1826,0,297.8,307.3,1516,40.1,166,0
1827,2,297.9,307.3,1420,47.8,171,0
1828,1,297.8,307.2,1351,56.3,174,0
1829,1,297.8,307.2,1880,23.0,176,0
1830,1,297.8,307.3,1859,24.0,178,0
1831,2,297.8,307.3,1315,54.0,180,0
1832,2,297.8,307.4,1330,51.7,183,0
1833,1,297.8,307.3,1327,61.0,186,3
1834,1,297.8,307.2,1498,38.1,188,0
1835,0,297.8,307.3,1555,35.8,190,0
1836,1,297.7,307.2,1518,35.8,195,0
1837,1,297.7,307.2,1392,43.0,197,0
1838,2,297.8,307.2,1456,39.6,199,0
1839,1,297.7,307.1,1715,30.2,0,0
1840,2,297.7,307.2,1405,43.7,2,0
1841,1,297.7,307.2,1668,37.8,5,0
1842,0,297.7,307.1,1855,22.5,7,0
1843,1,297.6,307.1,1496,39.2,12,0
1844,2,297.6,307.1,1471,44.9,14,0
1845,1,297.7,307.2,1444,40.0,17,0
1846,0,297.7,307.3,1514,38.6,19,0
1847,1,297.8,307.3,1412,50.7,24,0
1848,0,297.7,307.2,1429,44.1,26,0
1849,1,297.7,307.2,1668,32.7,31,0
1850,2,297.7,307.2,1372,52.8,33,0
1851,2,297.7,307.3,1365,49.2,36,0
1852,2,297.6,307.1,1526,39.1,39,0
1853,1,297.6,307.2,1486,40.6,42,0
1854,2,297.6,307.2,1470,42.6,44,0
1855,0,297.7,307.3,1249,62.8,47,0
1856,2,297.8,307.4,1752,26.1,52,0
1857,1,297.7,307.4,1643,36.5,55,0
1858,2,297.8,307.4,1488,36.1,57,0
1859,1,297.8,307.4,1355,45.8,60,0
1860,1,297.8,307.6,1607,30.3,62,0
1861,2,297.9,307.6,1609,30.3,64,0
1862,1,297.9,307.7,1517,44.4,67,0
1863,2,297.9,307.7,1517,39.5,69,0
1864,1,297.9,307.7,1546,37.6,72,0
1865,1,297.9,307.7,1567,34.7,74,0
1866,2,298.1,307.9,1662,28.9,76,0
1867,1,298.1,307.9,1502,41.8,79,0
1868,1,298.3,308.0,1361,56.9,81,0
1869,2,298.3,308.1,1630,32.7,83,0
1870,1,298.3,308.0,1486,42.3,86,0
1871,1,298.3,308.1,1840,21.5,88,0
1872,1,298.3,308.1,1326,58.4,90,0
1873,1,298.4,308.1,1367,57.8,92,0
1874,1,298.4,308.1,1598,32.7,94,0
1875,1,298.3,308.0,1363,50.1,96,0
1876,1,298.3,308.0,1242,62.0,98,0
1877,2,298.2,307.8,1566,33.8,100,0
1878,2,298.1,307.7,1424,47.7,103,0
1879,2,298.2,307.7,1608,33.8,106,0
1880,1,298.1,307.7,1705,29.1,109,0
1881,1,298.0,307.6,1548,45.8,111,0
1882,2,298.0,307.6,1581,43.4,113,0
1883,2,298.0,307.6,1472,46.7,116,0
1884,2,298.0,307.6,1792,26.0,119,0
1885,1,298.0,307.6,1683,32.8,122,0
1886,1,297.9,307.6,1503,40.7,124,0
1887,2,297.9,307.5,1642,32.4,126,0
1888,2,297.8,307.4,1902,24.3,129,0
1889,0,297.7,307.4,1432,40.2,132,0
1890,1,297.8,307.4,1512,40.8,137,0
1891,1,297.7,307.4,1764,29.0,139,0
1892,2,297.8,307.4,1438,43.6,141,0
1893,1,297.8,307.5,1631,29.9,144,0
1894,0,297.9,307.5,1880,23.3,146,0
1895,1,297.9,307.6,1344,54.3,151,0
1896,1,297.9,307.5,1574,35.8,153,0
1897,1,297.8,307.4,1418,41.2,155,0
1898,1,297.8,307.5,1372,54.1,157,0
1899,1,297.8,307.5,1388,40.0,159,0
1900,0,297.9,307.6,1493,36.0,161,0
1901,2,297.9,307.6,1505,40.1,166,0
1902,1,298.0,307.6,1694,29.1,169,0
1903,1,297.9,307.6,1968,20.4,171,0
1904,2,298.0,307.6,1569,35.6,173,0
1905,1,297.9,307.6,1687,29.1,176,0
1906,1,297.9,307.6,1430,52.4,178,0
1907,1,297.9,307.6,1504,42.4,180,0
1908,1,297.9,307.6,1977,20.2,182,0
1909,1,298.0,307.7,1435,45.6,184,0
1910,0,298.0,307.7,1547,36.8,186,0
1911,2,298.1,307.8,1316,57.2,191,0
1912,2,298.0,307.7,1621,34.9,194,0
1913,2,298.0,307.8,1492,40.2,197,0
1914,1,298.0,307.7,1643,32.3,200,0
1915,1,298.0,307.7,1492,38.7,202,0
1916,1,298.0,307.7,1387,50.8,204,0
1917,2,298.1,307.9,1463,47.3,206,0
1918,2,298.1,307.9,1496,40.0,0,0
1919,1,298.2,308.0,1658,30.0,3,0
1920,1,298.1,307.9,2161,17.5,5,0
1921,1,298.1,307.9,1665,32.0,7,0
1922,1,298.0,307.8,1716,26.6,9,0
1923,1,298.0,307.7,1529,34.1,11,0
1924,1,297.9,307.7,1353,50.7,13,0
1925,1,297.9,307.7,1537,37.7,15,0
1926,1,298.0,307.7,1606,30.8,17,0
1927,0,298.0,307.8,1314,47.8,19,0
1928,1,298.0,307.8,1623,29.9,24,0
1929,2,298.0,307.8,1483,50.9,26,0
1930,2,298.1,307.9,1569,37.0,29,0
1931,2,298.2,308.0,1969,21.7,32,0
1932,2,298.1,308.0,1686,29.3,35,0
1933,1,298.1,308.0,1638,35.1,38,0
1934,1,298.1,307.9,1698,33.3,40,0
1935,2,298.1,307.9,1377,55.1,42,0
1936,2,298.1,308.0,2129,18.4,45,0
1937,1,298.2,308.0,1411,42.4,48,0
1938,1,298.1,307.9,1517,40.8,50,0
1939,2,298.1,307.9,1303,53.9,52,0
1940,1,298.1,307.9,1578,35.6,55,0
1941,1,298.1,307.9,1425,58.2,57,0
1942,1,298.1,308.0,1456,42.4,59,0
1943,1,298.1,308.0,1704,30.9,61,0
1944,1,298.1,308.1,1791,27.3,63,0
1945,1,298.1,308.1,1616,32.8,65,0
1946,1,298.2,308.1,1622,34.9,67,0
1947,1,298.2,308.1,1462,49.9,69,0
1948,1,298.1,308.1,1410,45.8,71,0
1949,2,298.1,308.0,1543,41.9,73,0
1950,2,298.0,307.9,1479,47.6,76,0
1951,1,298.0,307.8,1839,22.7,79,0
1952,1,298.0,307.8,1266,60.5,81,0
1953,1,297.9,307.7,1593,34.9,83,0
1954,1,297.9,307.8,1459,46.9,85,0
1955,1,297.9,307.7,1308,55.2,87,0
1956,2,297.9,307.7,1364,46.8,89,0
1957,0,297.9,307.7,1618,35.9,92,0
1958,0,297.9,307.7,1464,43.2,97,0
1959,2,297.8,307.6,1352,49.4,102,0
1960,1,297.8,307.6,1446,51.4,105,0
1961,1,297.8,307.5,1448,51.2,107,0
1962,1,297.8,307.5,1391,48.6,109,0
1963,1,297.7,307.5,1379,43.3,111,0
1964,2,297.8,307.5,1405,46.9,113,0
1965,1,297.8,307.5,1581,33.1,116,0
1966,1,297.9,307.6,1515,40.5,118,0
1967,1,297.9,307.6,1589,37.8,120,0
1968,1,298.0,307.6,1281,50.8,122,0
1969,0,297.8,307.5,1631,31.3,124,0
1970,2,297.9,307.6,1202,67.0,129,0
1971,1,297.9,307.6,1298,52.7,132,0
1972,1,297.9,307.6,1612,30.7,134,0
1973,1,297.9,307.6,1747,25.3,136,0
1974,1,298.0,307.6,1450,48.7,138,0
1975,1,298.0,307.7,1422,45.6,140,0
1976,2,298.1,307.7,1419,47.4,142,0
1977,2,298.1,307.7,1633,30.7,145,0
1978,1,298.0,307.7,1442,43.6,148,0
1979,0,298.0,307.6,1420,45.8,150,0
1980,2,298.0,307.6,1301,58.5,155,0
1981,1,298.0,307.6,1385,45.0,158,0
1982,2,298.0,307.7,1487,41.3,160,0
1983,2,298.0,307.6,1459,44.4,163,0
1984,2,298.0,307.5,1387,45.5,166,0
1985,1,298.1,307.7,1537,40.8,169,0
1986,1,298.1,307.6,1498,42.9,171,0
1987,2,298.2,307.8,1599,31.2,173,0
1988,0,298.3,307.9,1420,39.2,176,0
1989,1,298.2,307.9,1785,23.4,181,0
1990,1,298.2,307.8,1423,48.1,183,0
1991,2,298.2,307.8,1583,36.6,185,0
1992,1,298.2,307.8,1375,46.6,188,0
1993,2,298.3,308.0,1463,42.5,190,0
1994,2,298.2,307.9,1403,45.1,193,0
1995,1,298.3,308.0,1451,47.1,196,0
1996,2,298.4,308.0,1416,38.2,198,4
1997,1,298.3,308.1,1672,41.3,0,0
1998,0,298.3,308.0,1637,30.8,2,0
1999,1,298.4,308.0,1540,37.8,7,0
2000,1,298.4,308.1,1279,53.1,9,0
2001,1,298.4,308.2,1604,34.9,11,0
2002,1,298.5,308.2,1654,27.1,13,0
2003,2,298.5,308.2,1564,37.5,15,0
2004,1,298.5,308.2,1451,47.5,18,0
2005,1,298.5,308.3,1504,38.0,20,0
2006,2,298.5,308.3,1381,50.5,22,0
2007,1,298.6,308.4,1562,34.4,25,0
2008,1,298.5,308.3,1811,24.7,27,0
2009,2,298.6,308.3,1717,28.7,29,0
2010,1,298.6,308.3,1278,60.5,32,0
2011,1,298.7,308.5,1616,30.2,34,0
2012,1,298.6,308.4,1397,46.4,36,0
2013,1,298.6,308.4,1485,42.9,38,0
2014,1,298.6,308.4,1310,59.7,40,0
2015,1,298.5,308.2,1301,66.3,42,2
2016,1,298.5,308.3,1458,44.0,44,0
2017,1,298.7,308.5,1483,42.5,46,0
2018,1,298.7,308.5,1375,46.4,48,0
2019,2,298.7,308.5,1660,27.0,50,0
2020,0,298.7,308.4,1560,33.3,53,0
2021,1,298.7,308.5,1480,42.2,58,0
2022,1,298.7,308.4,1373,46.9,60,0
2023,1,298.7,308.5,1444,54.2,62,0
2024,2,298.7,308.6,1722,24.7,64,0
2025,1,298.7,308.5,1469,39.9,67,0
2026,2,298.7,308.5,1360,52.9,69,0
2027,1,298.7,308.4,1750,25.8,72,0
2028,2,298.7,308.3,1349,46.6,74,0
2029,1,298.7,308.5,1668,35.2,77,0
2030,1,298.9,308.6,1400,49.5,79,0
2031,1,298.8,308.6,1331,62.8,81,0
2032,1,298.8,308.5,1444,42.2,83,0
2033,0,298.8,308.5,1359,47.6,85,0
2034,2,298.8,308.5,1425,47.4,90,0
2035,2,298.9,308.6,1469,34.2,93,0
2036,1,299.0,308.7,1892,22.8,96,0
2037,0,299.0,308.7,1940,19.9,98,0
2038,1,299.0,308.8,1405,55.2,103,0
2039,2,299.0,308.9,1449,39.6,105,0
2040,1,299.1,308.9,1686,29.6,108,0
2041,1,299.1,308.9,1680,27.2,110,0
2042,2,299.1,308.9,1397,52.4,112,0
2043,2,299.2,309.0,1597,30.3,115,0
2044,1,299.3,309.1,1470,41.1,118,0
2045,2,299.3,309.1,1703,31.3,120,0
2046,1,299.3,309.1,1388,45.5,123,0
2047,1,299.3,309.2,1775,24.2,125,0
2048,1,299.3,309.2,1465,41.5,127,0
2049,2,299.3,309.2,1586,37.9,129,0
2050,2,299.5,309.3,1675,29.2,132,0
2051,2,299.4,309.2,1470,44.4,135,0
2052,1,299.5,309.3,1477,40.4,138,0
2053,1,299.5,309.3,1382,61.0,140,0
2054,2,299.6,309.4,1605,29.8,142,0
2055,1,299.6,309.4,1643,32.9,145,0
2056,1,299.5,309.3,1333,54.1,147,0
2057,1,299.5,309.3,1520,42.3,149,0
2058,2,299.5,309.3,1902,24.0,151,0
2059,0,299.5,309.4,1386,44.4,154,0
2060,1,299.6,309.5,1803,27.7,159,0
2061,1,299.7,309.6,1359,50.7,161,0
2062,2,299.7,309.6,1477,42.7,163,0
2063,1,299.7,309.6,1321,53.4,166,0
2064,1,299.6,309.5,1453,41.4,168,0
2065,1,299.7,309.6,1419,45.1,170,0
2066,1,299.7,309.6,1512,36.2,172,0
2067,1,299.7,309.6,1553,36.8,174,0
2068,2,299.7,309.6,1534,39.1,176,0
2069,0,299.7,309.6,1553,41.0,179,0
2070,1,299.7,309.5,1352,49.7,184,0
2071,2,299.7,309.6,1313,60.0,186,0
2072,1,299.6,309.5,1570,35.5,189,5
2073,1,299.6,309.4,1677,31.1,191,0
2074,1,299.5,309.4,1602,31.5,193,0
2075,1,299.5,309.4,1390,58.8,195,3
2076,1,299.4,309.3,1544,36.0,197,0
2077,1,299.4,309.4,1701,31.2,199,0
2078,2,299.4,309.3,1692,28.4,201,0
2079,2,299.3,309.3,1523,37.9,204,0
2080,1,299.3,309.2,2280,15.4,207,0
2081,2,299.4,309.3,1485,47.1,209,0
2082,0,299.4,309.2,1513,36.1,212,0
2083,0,299.4,309.3,1743,28.2,0,0
2084,1,299.5,309.3,1442,46.2,5,0
2085,1,299.5,309.3,1462,46.7,7,0
2086,0,299.4,309.3,1439,49.7,9,0
2087,1,299.5,309.3,1577,36.6,14,0
2088,1,299.6,309.4,1331,46.4,16,0
2089,1,299.5,309.3,1941,22.5,18,0
2090,1,299.5,309.2,1393,47.3,20,0
2091,1,299.4,309.2,1433,42.1,22,0
2092,1,299.4,309.2,1444,48.2,24,0
2093,1,299.4,309.2,1564,39.0,26,0
2094,1,299.4,309.3,1377,43.6,28,0
2095,1,299.4,309.3,1525,41.5,30,0
2096,2,299.5,309.4,1387,56.2,32,0
2097,2,299.4,309.4,1326,47.5,35,0
2098,1,299.4,309.3,1401,59.0,38,0
2099,1,299.4,309.3,1596,31.8,40,0
2100,2,299.3,309.3,1471,46.0,42,0
2101,1,299.3,309.3,1528,37.8,45,0
2102,1,299.3,309.3,1325,62.0,47,0
2103,2,299.3,309.1,1376,46.7,49,0
2104,2,299.3,309.1,1600,35.3,52,0
2105,1,299.3,309.1,1495,44.0,55,0
2106,1,299.4,309.1,1645,28.6,57,0
2107,2,299.4,309.1,1417,47.3,59,0
2108,0,299.4,309.0,1415,51.7,62,0
2109,2,299.3,309.0,1496,43.4,67,0
2110,0,299.3,309.0,1508,35.0,70,0
2111,1,299.4,309.0,1436,47.9,75,0
2112,1,299.5,309.1,1852,22.6,77,0
2113,1,299.5,309.1,1863,22.5,79,0
2114,0,299.4,309.1,1373,44.1,81,0
2115,1,299.4,309.0,1404,47.3,86,0
2116,2,299.4,309.0,1381,44.9,88,0
2117,0,299.4,308.9,1762,29.3,91,0
2118,0,299.3,308.9,1429,43.0,96,0
2119,2,299.3,308.9,1858,24.7,101,0
2120,0,299.2,308.8,1908,21.3,104,0
2121,2,299.2,308.8,1503,37.4,109,0
2122,2,299.2,308.8,1523,38.9,112,0
2123,1,299.3,309.0,1491,38.4,115,0
2124,1,299.2,308.9,1430,39.1,117,0
2125,1,299.3,308.9,1258,69.4,119,2
2126,1,299.3,309.0,1449,46.5,121,0
2127,0,299.3,309.0,1425,40.6,123,0
2128,1,299.4,309.0,1800,24.3,128,0
2129,0,299.4,309.0,1607,33.7,130,0
2130,1,299.4,309.0,1391,58.2,135,0
2131,1,299.4,309.1,1432,45.4,137,0
2132,1,299.4,309.0,1660,28.4,139,0
2133,0,299.3,309.0,1732,29.7,141,0
2134,1,299.3,309.0,1473,46.3,146,0
2135,1,299.3,309.0,1511,47.8,148,0
2136,1,299.2,308.9,1588,41.5,150,0
2137,1,299.3,308.9,1623,31.1,152,0
2138,1,299.3,309.0,1734,30.6,154,0
2139,1,299.3,309.0,1415,47.6,156,0
2140,1,299.3,309.0,1419,46.6,158,0
2141,2,299.3,308.9,1577,34.9,160,0
2142,1,299.3,308.9,1376,60.3,163,0
